author,topic,doc_nb,word_nb,char_nb,doc_ids
Ellie Mae O’Hagan,G1,2.392344e-04,   0.2413876,    1.466029,
Ellie Mae O’Hagan,G10,5.456938e-01, 550.6050239, 3344.011483,5cc074c0a2c3613145ed8aeb
Ellie Mae O’Hagan,G2,2.392344e-04,   0.2413876,    1.466029,
Ellie Mae O’Hagan,G3,2.392344e-04,   0.2413876,    1.466029,
Ellie Mae O’Hagan,G4,2.392344e-04,   0.2413876,    1.466029,
Ellie Mae O’Hagan,G5,2.392344e-04,   0.2413876,    1.466029,
Ellie Mae O’Hagan,G6,2.873206e-01, 289.9064593, 1760.700478,
Ellie Mae O’Hagan,G7,2.392344e-04,   0.2413876,    1.466029,
Ellie Mae O’Hagan,G8,2.392344e-04,   0.2413876,    1.466029,
Ellie Mae O’Hagan,G9,1.653110e-01, 166.7988038, 1013.025837,
Emily Holden,G1,3.606557e-03,   2.5065574,   15.421639,
Emily Holden,G10,8.229508e-02,  57.1950820,  351.893770,
Emily Holden,G2,6.495082e-01, 451.4081967, 2777.297049,5cc07b51a2c3613145ed8d54
Emily Holden,G3,9.213115e-02,  64.0311475,  393.952787,
Emily Holden,G4,3.606557e-03,   2.5065574,   15.421639,
Emily Holden,G5,3.278689e-04,   0.2278689,    1.401967,
Emily Holden,G6,1.085246e-01,  75.4245902,  464.051148,
Emily Holden,G7,5.934426e-02,  41.2442623,  253.756066,
Emily Holden,G8,3.278689e-04,   0.2278689,    1.401967,
Emily Holden,G9,3.278689e-04,   0.2278689,    1.401967,
Fiona Harvey,G1,5.154639e-04,   0.2860825,    1.692784,
Fiona Harvey,G10,5.154639e-04,   0.2860825,    1.692784,
Fiona Harvey,G2,8.814433e-02,  48.9201031,  289.465979,
Fiona Harvey,G3,5.154639e-04,   0.2860825,    1.692784,
Fiona Harvey,G4,5.154639e-04,   0.2860825,    1.692784,
Fiona Harvey,G5,5.154639e-04,   0.2860825,    1.692784,
Fiona Harvey,G6,6.237113e-02,  34.6159794,  204.826804,
Fiona Harvey,G7,7.840206e-01, 435.1314433, 2574.723711,5cc07d8ba2c3613145ed8e24
Fiona Harvey,G8,5.154639e-04,   0.2860825,    1.692784,
Fiona Harvey,G9,6.237113e-02,  34.6159794,  204.826804,
First Dog on the Moon,G1,4.666667e-02,   6.9533333,   39.526667,
First Dog on the Moon,G10,4.911111e-01,  73.1755556,  415.971111,5cc18399a2c3615169989cc4
First Dog on the Moon,G2,2.222222e-03,   0.3311111,    1.882222,
First Dog on the Moon,G3,4.666667e-02,   6.9533333,   39.526667,
First Dog on the Moon,G4,2.222222e-03,   0.3311111,    1.882222,
First Dog on the Moon,G5,2.222222e-03,   0.3311111,    1.882222,
First Dog on the Moon,G6,4.666667e-02,   6.9533333,   39.526667,
First Dog on the Moon,G7,2.222222e-03,   0.3311111,    1.882222,
First Dog on the Moon,G8,3.577778e-01,  53.3088889,  303.037778,
First Dog on the Moon,G9,2.222222e-03,   0.3311111,    1.882222,
Genny Scherer,G1,4.313725e-03,   2.8945098,   16.124706,
Genny Scherer,G10,3.298039e-01, 221.2984314, 1232.807059,5cc08494a2c3613145ed9054
Genny Scherer,G2,3.921569e-04,   0.2631373,    1.465882,
Genny Scherer,G3,2.749020e-01, 184.4592157, 1027.583529,
Genny Scherer,G4,2.392157e-02,  16.0513725,   89.418824,
Genny Scherer,G5,3.921569e-04,   0.2631373,    1.465882,
Genny Scherer,G6,4.313725e-03,   2.8945098,   16.124706,
