author,date,doc_nb,word_nb,char_nb,doc_ids
Kate Lyons,2018-10-15,1, 894, 5210,5cc08023a2c3613145ed8f12
Katharine Murphy,2016-11-10,1, 954, 6123,5cc17b16a2c3615169989b00
Katharine Murphy,2018-04-16,1, 877, 5630,5cc08506a2c3613145ed9074
Katharine Murphy,2018-09-07,1, 595, 3698,5cc072bfa2c3613145ed8a62
Katharine Murphy,2019-03-01,1,1514, 9094,5cc075cba2c3613145ed8b3f
"Katharine Murphy, Lisa Cox",2019-02-25,1, 960, 6084,5cc07555a2c3613145ed8b1b
"Katharine Murphy, Michael Slezak",2017-12-19,1, 742, 4843,5cc081a1a2c3613145ed8f7d
Larry Elliott,2018-12-20,1,1204, 7062,5cc079cfa2c3613145ed8cbe
Lauren Kurtz,2016-07-07,1, 980, 6613,5cc18566a2c3615169989d1d
Letters,2016-09-07,1, 499, 2947,5cc17f30a2c3615169989bf1
Letters,2017-05-03,1,1015, 6287,5cc1715da2c36151699898d2
Letters,2018-07-09,1, 691, 4415,5cc06feea2c3613145ed89b2
Letters,2018-12-28,1, 627, 3820,5cc079fba2c3613145ed8cd1
Lucy Lamble,2017-12-25,1,2461,15283,5cc0809aa2c3613145ed8f38
Luis Alberto Moreno,2016-11-16,1, 674, 4405,5cc17baca2c3615169989b2b
Lynsey Hanley,2018-10-15,1, 787, 4888,5cc08025a2c3613145ed8f14
"Megan Darby for Climate Home, part of the Guardian Environment Network",2016-04-04,1, 457, 3018,5cc18a43a2c3615169989e0a
Michael Slezak,2016-06-26,1, 758, 4832,5cc18482a2c3615169989cf3
Michael Slezak,2017-01-18,1, 297, 1816,5cc172d3a2c3615169989925
Michael Slezak,2017-05-17,1, 849, 5309,5cc16d04a2c36151699897be
Michael Slezak,2017-06-29,1, 794, 5079,5cc169afa2c36151699896f8
Nnimmo Bassey,2019-03-18,1, 906, 5481,5cc07723a2c3613145ed8ba6
Oliver Balch,2016-08-18,1, 950, 6278,5cc1881da2c3615169989d9e
Oliver Milman,2016-11-22,1, 408, 2465,5cc17c29a2c3615169989b4b
Oliver Milman,2017-05-05,1,1121, 6745,5cc16de0a2c36151699897fe
Oliver Milman,2017-06-01,1, 942, 5733,5cc16cdaa2c36151699897bc
Oliver Milman,2018-06-06,1, 722, 4315,5cc07e9ba2c3613145ed8e81
Oliver Milman,2018-08-02,1, 691, 4125,5cc07156a2c3613145ed89f1
Patrick Barkham,2016-10-27,1, 315, 1943,5cc17a06a2c3615169989abb
Patrick Collinson,2017-12-18,1, 810, 5051,5cc0817fa2c3613145ed8f7a
Paul Karp,2016-08-07,1, 763, 4634,5cc18761a2c3615169989d7b
"Peter C Frumhoff, Myles Allen",2017-09-07,1, 976, 6150,5cc1642fa2c36151699895c7
Press Association,2017-02-02,1, 470, 2961,5cc1741aa2c3615169989971
Rebecca Solnit,2016-05-03,1,1325, 7956,5cc18d28a2c3615169989e98
Reuters,2016-05-10,1, 448, 2752,5cc18956a2c3615169989dd8
Terry Macalister,2016-05-15,1, 699, 4292,5cc18879a2c3615169989daf
Tom Levitt,2016-08-16,1, 972, 5957,5cc187dfa2c3615169989d92
Tyson Yunkaporta,2017-09-26,1,1312, 8062,5cc16568a2c3615169989617
NA,2016-06-05,1,  61,  383,5cc1832fa2c3615169989ca7
