author,interactor,topic,doc_nb,word_nb,char_nb,doc_ids
USER_3,citizensclimate,T4, 0.020408163,  0.1836735,   1.2448980,
USER_3,citizensclimate,T5, 0.020408163,  0.1836735,   1.2448980,
USER_3,citizensclimate,T6, 0.020408163,  0.1836735,   1.2448980,
USER_3,citizensclimate,T7, 0.020408163,  0.1836735,   1.2448980,
USER_3,citizensclimate,T8, 0.020408163,  0.1836735,   1.2448980,
USER_3,citizensclimate,T9, 0.020408163,  0.1836735,   1.2448980,
USER_3,NA,T1, 0.016949153,  0.1355932,   0.9322034,
USER_3,NA,T2, 0.016949153,  0.1355932,   0.9322034,
USER_3,NA,T3, 0.016949153,  0.1355932,   0.9322034,
USER_3,NA,T4, 0.016949153,  0.1355932,   0.9322034,
USER_3,NA,T5, 0.016949153,  0.1355932,   0.9322034,
USER_3,NA,T6, 0.016949153,  0.1355932,   0.9322034,
USER_3,NA,T7, 0.694915254,  5.5593220,  38.2203390,928766098060738562
USER_3,NA,T8, 0.016949153,  0.1355932,   0.9322034,
USER_3,NA,T9, 0.186440678,  1.4915254,  10.2542373,
