author,interactor,topic,doc_nb,word_nb,char_nb,doc_ids
Eleanor Laing,NA,P10,6.834293e-01,3084.3163240,20383.961595,uk.org.publicwhip/debate/2017-02-08b.434.1
Eleanor Laing,NA,P2,4.111842e-05,   0.1855674,    1.226398,
Eleanor Laing,NA,P3,4.111842e-05,   0.1855674,    1.226398,
Eleanor Laing,NA,P4,4.111842e-05,   0.1855674,    1.226398,
Eleanor Laing,NA,P5,4.111842e-05,   0.1855674,    1.226398,
Eleanor Laing,NA,P6,4.111842e-05,   0.1855674,    1.226398,
Eleanor Laing,NA,P7,4.111842e-05,   0.1855674,    1.226398,
Eleanor Laing,NA,P8,4.523026e-04,   2.0412418,   13.490378,
Eleanor Laing,NA,P9,3.158306e-01,1425.3434622, 9419.963240,
Emily Thornberry,NA,P1,4.272727e-01,  41.8727273,  229.872727,uk.org.publicwhip/debate/2016-11-22b.734.5
Emily Thornberry,NA,P10,6.363636e-02,   6.2363636,   34.236364,
Emily Thornberry,NA,P2,6.363636e-02,   6.2363636,   34.236364,
Emily Thornberry,NA,P3,3.030303e-03,   0.2969697,    1.630303,
Emily Thornberry,NA,P4,3.030303e-03,   0.2969697,    1.630303,
Emily Thornberry,NA,P5,3.333333e-02,   3.2666667,   17.933333,
Emily Thornberry,NA,P6,3.030303e-03,   0.2969697,    1.630303,
Emily Thornberry,NA,P7,3.969697e-01,  38.9030303,  213.569697,
Emily Thornberry,NA,P8,3.030303e-03,   0.2969697,    1.630303,
Emily Thornberry,NA,P9,3.030303e-03,   0.2969697,    1.630303,
George Kerevan,NA,P1,6.250000e-04,   0.2962500,    1.640000,
George Kerevan,NA,P10,6.250000e-04,   0.2962500,    1.640000,
George Kerevan,NA,P2,8.256250e-01, 391.3462500, 2166.440000,uk.org.publicwhip/debate/2016-03-08a.250.2
George Kerevan,NA,P3,6.250000e-04,   0.2962500,    1.640000,
George Kerevan,NA,P4,1.312500e-02,   6.2212500,   34.440000,
George Kerevan,NA,P5,6.250000e-04,   0.2962500,    1.640000,
