author,topic,doc_nb,word_nb,char_nb,doc_ids
Antoinette Sandbach,P4,5.981735e-02,  36.4885845,  211.573973,
Antoinette Sandbach,P5,5.022831e-03,   3.0639269,   17.765753,
Antoinette Sandbach,P6,5.940639e-01, 362.3789954, 2101.204110,uk.org.publicwhip/debate/2016-07-04a.690.0
Antoinette Sandbach,P7,2.515982e-01, 153.4748858,  889.902740,
Antoinette Sandbach,P8,1.415525e-02,   8.6347032,   50.067123,
Antoinette Sandbach,P9,4.566210e-04,   0.2785388,    1.615068,
Barry Gardiner,P1,4.809307e-03,   0.4804869,    2.994219,
Barry Gardiner,P10,5.554090e-02,   7.6811346,   47.060422,
Barry Gardiner,P2,9.571840e-02,   5.2986687,   34.630583,
Barry Gardiner,P3,2.064044e-02,  14.8551571,   87.738283,
Barry Gardiner,P4,2.327896e-02,  17.2509355,  101.862293,
Barry Gardiner,P5,1.209043e-01, 105.8947349,  624.450684,
Barry Gardiner,P6,4.143799e-01, 333.5069921, 1967.925858,uk.org.publicwhip/debate/2019-04-23a.674.0
Barry Gardiner,P7,1.067774e+00, 304.9706524, 1825.544471,uk.org.publicwhip/debate/2016-09-07b.371.5
Barry Gardiner,P8,1.921444e-01, 170.5807508, 1005.798969,
Barry Gardiner,P9,4.809307e-03,   0.4804869,    2.994219,
Barry Sheerman,P1,4.761905e-03,   0.2809524,    1.642857,
Barry Sheerman,P10,4.761905e-03,   0.2809524,    1.642857,
Barry Sheerman,P2,4.761905e-03,   0.2809524,    1.642857,
Barry Sheerman,P3,4.761905e-03,   0.2809524,    1.642857,
Barry Sheerman,P4,4.761905e-03,   0.2809524,    1.642857,
Barry Sheerman,P5,4.809524e-01,  28.3761905,  165.928571,uk.org.publicwhip/debate/2019-04-24b.734.0
Barry Sheerman,P6,4.761905e-03,   0.2809524,    1.642857,
Barry Sheerman,P7,4.809524e-01,  28.3761905,  165.928571,
Barry Sheerman,P8,4.761905e-03,   0.2809524,    1.642857,
Barry Sheerman,P9,4.761905e-03,   0.2809524,    1.642857,
Bill Grant,P1,4.313725e-03,   2.5925490,   15.283529,
Bill Grant,P10,5.137255e-02,  30.8749020,  182.012941,
Bill Grant,P2,3.921569e-04,   0.2356863,    1.389412,
Bill Grant,P3,1.258824e-01,  75.6552941,  446.001176,
Bill Grant,P4,2.003922e-01, 120.4356863,  709.989412,
Bill Grant,P5,1.258824e-01,  75.6552941,  446.001176,
Bill Grant,P6,1.141176e-01,  68.5847059,  404.318824,
Bill Grant,P7,1.023529e-01,  61.5141176,  362.636471,
Bill Grant,P8,2.749020e-01, 165.2160784,  973.977647,uk.org.publicwhip/debate/2019-10-17c.534.0
Bill Grant,P9,3.921569e-04,   0.2356863,    1.389412,
Boris Johnson,P1,2.265306e-01,  31.2612245,  177.146939,
Boris Johnson,P10,4.285714e-02,   5.9142857,   33.514286,
Boris Johnson,P2,4.285714e-02,   5.9142857,   33.514286,
Boris Johnson,P3,2.040816e-03,   0.2816327,    1.595918,
Boris Johnson,P4,2.040816e-03,   0.2816327,    1.595918,
Boris Johnson,P5,2.040816e-03,   0.2816327,    1.595918,
Boris Johnson,P6,2.040816e-03,   0.2816327,    1.595918,
Boris Johnson,P7,6.551020e-01,  90.4040816,  512.289796,uk.org.publicwhip/debate/2019-10-30a.368.3
Boris Johnson,P8,2.244898e-02,   3.0979592,   17.555102,
Boris Johnson,P9,2.040816e-03,   0.2816327,    1.595918,
Callum McCaig,P1,8.849558e-04,   0.2389381,    1.398230,
Callum McCaig,P10,8.849558e-04,   0.2389381,    1.398230,
Callum McCaig,P2,9.734513e-03,   2.6283186,   15.380531,
Callum McCaig,P3,8.849558e-04,   0.2389381,    1.398230,
Callum McCaig,P4,8.849558e-04,   0.2389381,    1.398230,
Callum McCaig,P5,8.849558e-04,   0.2389381,    1.398230,
Callum McCaig,P6,5.318584e-01, 143.6017699,  840.336283,uk.org.publicwhip/debate/2016-03-14b.702.0
Callum McCaig,P7,2.752212e-01,  74.3097345,  434.849558,
Callum McCaig,P8,8.849558e-04,   0.2389381,    1.398230,
Callum McCaig,P9,1.778761e-01,  48.0265487,  281.044248,
Carol Monaghan,P1,3.448276e-03,   0.1793103,    1.162069,
Carol Monaghan,P10,3.137931e-01,  16.3172414,  105.748276,uk.org.publicwhip/debate/2019-06-12e.657.5
Carol Monaghan,P2,3.793103e-02,   1.9724138,   12.782759,
Carol Monaghan,P3,3.448276e-03,   0.1793103,    1.162069,
Carol Monaghan,P4,1.413793e-01,   7.3517241,   47.644828,
Carol Monaghan,P5,2.103448e-01,  10.9379310,   70.886207,
Carol Monaghan,P6,3.793103e-02,   1.9724138,   12.782759,
Carol Monaghan,P7,3.448276e-03,   0.1793103,    1.162069,
Carol Monaghan,P8,2.448276e-01,  12.7310345,   82.506897,
Carol Monaghan,P9,3.448276e-03,   0.1793103,    1.162069,
Caroline Lucas,P1,2.173913e-03,   0.2282609,    1.415217,
Caroline Lucas,P10,1.760870e-01,  18.4891304,  114.632609,
Caroline Lucas,P2,2.173913e-03,   0.2282609,    1.415217,
Caroline Lucas,P3,2.173913e-03,   0.2282609,    1.415217,
Caroline Lucas,P4,2.173913e-03,   0.2282609,    1.415217,
Caroline Lucas,P5,2.173913e-03,   0.2282609,    1.415217,
Caroline Lucas,P6,7.847826e-01,  82.4021739,  510.893478,uk.org.publicwhip/debate/2016-09-07b.333.3
Caroline Lucas,P7,2.391304e-02,   2.5108696,   15.567391,
Caroline Lucas,P8,2.173913e-03,   0.2282609,    1.415217,
Caroline Lucas,P9,2.173913e-03,   0.2282609,    1.415217,
Cat Smith,P1,2.100000e-01,   4.2000000,   28.560000,
