author,date,topic,doc_nb,word_nb,char_nb,doc_ids
Andrea Leadsom,2016-07-14,P5,7.380952e-03,   0.5316667,    3.128571,
Andrea Leadsom,2016-07-14,P6,1.428810e+00, 106.0816667,  627.985714,uk.org.publicwhip/debate/2016-07-14c.412.7 uk.org.publicwhip/debate/2016-07-14c.412.3
Andrea Leadsom,2016-07-14,P7,7.380952e-03,   0.5316667,    3.128571,
Andrea Leadsom,2016-07-14,P8,7.380952e-03,   0.5316667,    3.128571,
Andrea Leadsom,2016-07-14,P9,7.380952e-03,   0.5316667,    3.128571,
Andrea Leadsom,2019-09-26,P1,2.702703e-03,   0.2108108,    1.208108,
Andrea Leadsom,2019-09-26,P10,2.702703e-03,   0.2108108,    1.208108,
Andrea Leadsom,2019-09-26,P2,2.702703e-03,   0.2108108,    1.208108,
Andrea Leadsom,2019-09-26,P3,2.702703e-03,   0.2108108,    1.208108,
Andrea Leadsom,2019-09-26,P4,2.702703e-03,   0.2108108,    1.208108,
Andrea Leadsom,2019-09-26,P5,4.621622e-01,  36.0486486,  206.586486,
Andrea Leadsom,2019-09-26,P6,2.702703e-03,   0.2108108,    1.208108,
Andrea Leadsom,2019-09-26,P7,5.162162e-01,  40.2648649,  230.748649,uk.org.publicwhip/debate/2019-09-26c.913.0
Andrea Leadsom,2019-09-26,P8,2.702703e-03,   0.2108108,    1.208108,
Andrea Leadsom,2019-09-26,P9,2.702703e-03,   0.2108108,    1.208108,
Andrew Mitchell,2019-10-14,P1,1.497768e-01, 163.1069196,  945.241295,
Andrew Mitchell,2019-10-14,P10,4.933036e-02,  53.7207589,  311.323884,
Andrew Mitchell,2019-10-14,P2,2.368304e-01, 257.9082589, 1494.636384,
Andrew Mitchell,2019-10-14,P3,2.232143e-04,   0.2430804,    1.408705,
Andrew Mitchell,2019-10-14,P4,1.408482e-01, 153.3837054,  888.893080,
Andrew Mitchell,2019-10-14,P5,3.104911e-01, 338.1247768, 1959.509152,uk.org.publicwhip/debate/2019-10-14a.49.1
Andrew Mitchell,2019-10-14,P6,2.232143e-04,   0.2430804,    1.408705,
Andrew Mitchell,2019-10-14,P7,7.611607e-02,  82.8904018,  480.368527,
Andrew Mitchell,2019-10-14,P8,3.370536e-02,  36.7051339,  212.714509,
Andrew Mitchell,2019-10-14,P9,2.455357e-03,   2.6738839,   15.495759,
Andrew Murrison,2016-07-18,P1,2.810606e-01,  93.0310606,  541.322727,
Andrew Murrison,2016-07-18,P10,2.348485e-02,   7.7734848,   45.231818,
Andrew Murrison,2016-07-18,P2,4.621212e-02,  15.2962121,   89.004545,
Andrew Murrison,2016-07-18,P3,8.333333e-03,   2.7583333,   16.050000,
Andrew Murrison,2016-07-18,P4,7.575758e-04,   0.2507576,    1.459091,
Andrew Murrison,2016-07-18,P5,1.825758e-01,  60.4325758,  351.640909,
Andrew Murrison,2016-07-18,P6,7.575758e-04,   0.2507576,    1.459091,
Andrew Murrison,2016-07-18,P7,4.477273e-01, 148.1977273,  862.322727,uk.org.publicwhip/debate/2016-07-18c.591.2
Andrew Murrison,2016-07-18,P8,8.333333e-03,   2.7583333,   16.050000,
